GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls,TOTAL_POP,heatweek_calls_per_1k,normalweek_calls_per_1k
36047025902,1.2,1.1428571428571428,3530.0,0.33994334277620397,0.32375556454876564
36047026000,5.4,4.714285714285714,3116.0,1.7329910141206677,1.5129286631212175
36047026100,5.2,5.857142857142857,5504.0,0.9447674418604651,1.0641611295681064
36047026200,4.6,5.0,2729.0,1.6855991205569805,1.832172957127153
36047026300,1.8,2.2857142857142856,2253.0,0.7989347536617843,1.0145203221102024
36047026400,10.4,11.857142857142858,4423.0,2.351345240786796,2.6807919640838476
36047026500,3.4,3.7142857142857144,4187.0,0.8120372581800812,0.8870995257429458
36047026600,3.8,4.428571428571429,3624.0,1.0485651214128033,1.2220119836013876
36047026700,4.0,3.5714285714285716,4701.0,0.8508827908955541,0.7597167775853162
36047026800,10.0,10.142857142857142,4671.0,2.140869192892314,2.1714530385050614
36047026900,3.2,3.5714285714285716,3038.0,1.0533245556287032,1.1755854415498919
36047027000,2.0,1.5714285714285714,2416.0,0.8278145695364238,0.6504257332071901
36047027100,2.0,6.0,3703.0,0.5401026194977046,1.6203078584931137
36047027200,6.8,4.714285714285714,3980.0,1.708542713567839,1.1844938980617374
36047027300,1.6,2.142857142857143,3960.0,0.40404040404040403,0.5411255411255411
36047027400,5.4,5.142857142857143,3451.0,1.5647638365691106,1.4902512729229624
36047027500,2.6,2.7142857142857144,4695.0,0.5537806176783813,0.5781226228510573
36047027600,11.8,9.571428571428571,3740.0,3.1550802139037435,2.559205500381971
36047027700,1.8,2.4285714285714284,4198.0,0.4287756074321105,0.5785067719322126
36047027800,7.4,3.7142857142857144,3124.0,2.3687580025608197,1.1889518931772454
36047027900,3.8,4.428571428571429,3711.0,1.02398275397467,1.193363359895292
36047028000,5.6,5.571428571428571,1828.0,3.0634573304157544,3.047827446076899
36047028100,4.0,3.857142857142857,5196.0,0.7698229407236336,0.7423292642692181
36047028200,31.2,16.857142857142858,3092.0,10.090556274256144,5.4518573276658655
