NAME,total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
Census Tract 87; Bronx County; New York,6677,36402,6555,2780,25,547,118,22,0,4030,53,2035,2088,484,6088,36,005,008700,36005008700,0.4241037376048818,0.25874472660431624,687,0.1704714640198511,0.9746168582375478,0.0795006570302234
Census Tract 89; Bronx County; New York,3239,41484,3230,598,77,118,46,0,0,2350,104,1190,1294,310,3128,36,005,008900,36005008900,0.1851393188854489,0.019780307884883386,164,0.06978723404255319,0.919629057187017,0.09910485933503836
Census Tract 90; Bronx County; New York,3692,33831,3600,1325,2,183,5,12,5,2230,248,999,1247,119,3482,36,005,009000,36005009000,0.3680555555555556,0.20269654455499006,205,0.09192825112107623,0.8011226944667201,0.034175761056863874
Census Tract 92; Bronx County; New York,5959,56208,5959,1313,48,386,162,16,0,3899,483,1373,1856,91,5482,36,005,009200,36005009200,0.22033898305084745,0.05497997205028193,564,0.1446524749935881,0.7397629310344828,0.01659978110178767
Census Tract 93.01; Bronx County; New York,5066,47185,4960,1316,94,226,247,0,0,3086,171,1705,1876,119,4478,36,005,009301,36005009301,0.2653225806451613,0.09996356964459577,473,0.15327284510693454,0.9088486140724946,0.02657436355515855
Census Tract 93.02; Bronx County; New York,463,-666666666,0,0,0,0,10,0,0,372,0,0,0,0,463,36,005,009302,36005009302,0.257321673707723,,10,0.026881720430107527,0.8561931559045466,0.0
Census Tract 96; Bronx County; New York,2740,53333,2512,490,65,208,136,11,5,1911,227,649,876,26,2606,36,005,009600,36005009600,0.19506369426751594,0.029704683266950416,360,0.18838304552590268,0.7408675799086758,0.009976976208749041
Census Tract 98; Bronx County; New York,4715,56128,4458,819,7,574,197,29,0,3587,731,907,1638,110,4491,36,005,009800,36005009800,0.18371467025572005,0.018355659255154533,800,0.2230275996654586,0.5537240537240538,0.024493431307058562
Census Tract 115.02; Bronx County; New York,4242,28592,4148,1758,65,233,157,0,0,2483,173,1266,1439,276,3982,36,005,011502,36005011502,0.42381870781099323,0.2584596968104277,390,0.15706806282722513,0.8797776233495483,0.06931190356604722
Census Tract 117.01; Bronx County; New York,1509,33967,1509,513,5,138,15,0,0,846,36,457,493,0,1356,36,005,011701,36005011701,0.3399602385685885,0.17460122756802296,153,0.18085106382978725,0.9269776876267748,0.0
Census Tract 118; Bronx County; New York,5798,109396,4448,480,50,699,358,23,7,2997,950,551,1501,57,5417,36,005,011800,36005011800,0.1079136690647482,-0.05744534193581732,1087,0.362696029362696,0.3670886075949367,0.01052242938896068
Census Tract 119; Bronx County; New York,6159,34335,6128,1817,0,282,82,0,0,3023,114,1830,1944,84,5667,36,005,011900,36005011900,0.29650783289817234,0.13114882189760682,364,0.12041018855441614,0.941358024691358,0.014822657490735839
Census Tract 121.01; Bronx County; New York,3415,55000,3380,1000,18,355,42,0,0,2259,203,827,1030,117,3185,36,005,012101,36005012101,0.2958579881656805,0.13049897716511497,397,0.17574147853032315,0.8029126213592233,0.036734693877551024
Census Tract 121.02; Bronx County; New York,1337,43472,1328,308,0,19,20,0,0,976,9,513,522,25,1272,36,005,012102,36005012102,0.2319277108433735,0.06656869984280797,39,0.039959016393442626,0.9827586206896551,0.019654088050314465
Census Tract 123; Bronx County; New York,4915,47402,4915,616,0,320,76,0,0,3091,188,1511,1699,26,4553,36,005,012300,36005012300,0.12533062054933877,-0.04002839045122675,396,0.12811387900355872,0.8893466745144203,0.005710520535910389
Census Tract 125; Bronx County; New York,4030,51875,3986,1220,0,265,181,40,0,2408,325,1061,1386,35,3576,36,005,012500,36005012500,0.30607124937280483,0.1407122383722393,486,0.20182724252491693,0.7655122655122655,0.009787472035794184
Census Tract 127.01; Bronx County; New York,2460,44667,2424,702,68,123,26,28,0,1501,206,574,780,119,2200,36,005,012701,36005012701,0.2896039603960396,0.12424494939547406,177,0.11792138574283811,0.735897435897436,0.05409090909090909
