GEOID,EXTREME_DAYS_SUMMER,TOTAL_DAYS_SUMMER,MEAN_TMAX_F_SUMMER,PCT_EXTREME_HEAT_DAYS,EXTREME_HEAT_1,EXTREME_HEAT_2,TOTAL_CALLS_SUMMER,QOL_CALLS_SUMMER,QOL_RATE_1K,QOL_RATE_10K,TOTAL_POP,MEDIAN_INCOME,NO_VEHICLE_HH,HH_TOTAL,POP_DENSITY,PCT_NON_WHITE,POVERTY_RATE,PCT_BACHELORS_PLUS,PCT_RENTERS,PCT_LIMITED_ENGLISH,PCT_TREE_CANOPY,PCT_IMPERVIOUS,MEAN_LANDCOVER,BD,AH,NDVI,WCR
36047080600,17,78,84.87948717948719,0.21794871794871795,1,1,244,51,209.01639344262296,2090.1639344262294,3591.0,70954.0,112.0,1269.0,0.0019986593988364,0.7003620161514899,0.1331105541631857,0.3804135778384705,0.7722616233254531,0.0011587485515643,1.5108695652173914,1.1304347826086956,23.52717391304348,0.3179365959027529,11.456126520194504,0.0738245248794555,0.0
36047080800,11,59,84.8406779661017,0.1864406779661017,1,1,134,14,104.4776119402985,1044.776119402985,2046.0,12854.0,0.0,720.0,0.0005884497797776,0.7458455522971652,0.6116363636363636,0.0860091743119266,0.9972222222222222,0.013,6.610644257703081,1.330532212885154,23.240896358543417,0.2518562131241776,28.739511519057498,0.0601362101733684,0.0
36047081000,14,67,85.42238805970149,0.208955223880597,1,1,186,83,446.23655913978496,4462.365591397849,2484.0,71607.0,92.0,926.0,0.0014157915760091,0.8663446054750402,0.1223832528180354,0.3924572775486152,0.7775377969762419,0.0,2.983516483516484,1.1868131868131868,23.36813186813187,0.2885968878963937,11.523119684521273,0.0602168515324592,0.0
36047081400,16,71,85.38028169014085,0.22535211267605634,1,1,203,19,93.59605911330048,935.9605911330049,2556.0,72632.0,164.0,970.0,0.001390281835396,0.9651799687010956,0.121224009415457,0.2097729516288252,0.5835051546391753,0.0,1.2,1.0526315789473684,23.347368421052632,0.3298807669927044,8.336676356815788,0.0733589008450508,0.0
36047081600,15,64,85.0265625,0.234375,1,1,156,37,237.17948717948718,2371.7948717948716,2969.0,100000.0,86.0,998.0,0.0015298468495107,0.919501515661839,0.1042654028436018,0.315566037735849,0.6793587174348698,0.0,1.4824120603015076,1.1658291457286432,23.472361809045225,0.376597238941808,19.81385747461823,0.0642004385590553,0.0
36047081800,16,79,84.72911392405064,0.20253164556962025,1,1,356,68,191.01123595505618,1910.1123595505617,4190.0,71464.0,195.0,1748.0,0.0024559603424524,0.8701670644391408,0.2015228426395939,0.4413599500935745,0.8106407322654462,0.0004907975460122,0.6971428571428572,1.1085714285714283,23.542857142857144,0.3696041741191465,15.833680317747604,0.0663817301392555,0.0
36047082000,17,80,84.86875,0.2125,1,1,355,56,157.74647887323945,1577.4647887323945,5429.0,55000.0,22.0,2402.0,0.0033818119455143,0.8756677104439123,0.2458049050341139,0.2685163414060663,0.9904246461282264,0.0,0.3652694610778443,1.1137724550898205,23.652694610778443,0.4395460911416135,15.312147583967118,0.0565956532955169,0.0
36047082200,17,83,84.82409638554216,0.20481927710843373,1,1,620,159,256.45161290322585,2564.516129032258,7977.0,81484.0,62.0,3060.0,0.0043471645934293,0.9024696001002884,0.1041267407691324,0.3759111994698476,0.918954248366013,0.0,0.4840425531914893,1.175531914893617,23.601063829787236,0.4136795357964882,18.85158109585772,0.0695017203688621,0.0
36047082400,17,82,84.85365853658537,0.2073170731707317,1,1,521,96,184.26103646833013,1842.6103646833014,5355.0,54900.0,96.0,1977.0,0.0023123626288301,0.9658263305322128,0.1479744936234058,0.1994694960212201,0.8391502276176024,0.0,0.3459915611814346,1.0379746835443038,23.62869198312236,0.3883315217836236,11.013103695217382,0.0696625337004661,0.0
36047082600,16,78,84.77692307692308,0.20512820512820512,1,1,305,68,222.95081967213116,2229.5081967213114,4529.0,76181.0,177.0,1811.0,0.0021057041959326,0.939942592183705,0.1052631578947368,0.4272951324707332,0.7244616234124793,0.0,0.1531531531531531,1.0315315315315314,23.454954954954957,0.3678309986259835,9.556962923201564,0.0822735354304313,0.0
