GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls
36047012000,0.8,1.8571428571428572
36047012100,18.2,15.714285714285714
36047012200,8.4,12.142857142857142
36047012600,3.8,4.285714285714286
36047012700,7.2,6.0
36047012801,6.8,5.571428571428571
36047012901,4.4,4.428571428571429
36047012902,18.8,34.0
36047013000,12.8,12.285714285714286
36047013100,1.2,6.285714285714286
36047013200,6.4,6.142857142857143
36047013300,2.6,3.2857142857142856
36047013400,7.8,7.428571428571429
36047013500,5.8,5.428571428571429
36047013600,13.4,10.857142857142858
36047013700,7.0,2.0
36047013800,10.2,7.428571428571429
36047013900,3.8,3.857142857142857
36047014000,4.0,7.571428571428571
36047014101,2.4,2.7142857142857144
36047014102,1.8,5.428571428571429
36047014200,9.0,12.0
36047014300,5.2,5.857142857142857
36047014500,5.2,7.0
36047014700,2.8,4.571428571428571
36047014800,1.6,1.2857142857142858
36047014901,0.4,1.5714285714285714
36047014902,2.2,3.0
36047015000,3.0,3.7142857142857144
36047015100,1.8,3.142857142857143
36047015200,4.8,6.571428571428571
36047015300,3.8,5.285714285714286
36047015400,0.6,1.1428571428571428
36047015500,1.4,1.8571428571428572
36047015700,1.6,2.2857142857142856
36047015900,1.8,3.857142857142857
36047016000,10.0,8.714285714285714
36047016100,13.0,34.142857142857146
36047016200,6.0,4.285714285714286
36047016300,39.0,51.42857142857143
36047016400,0.25,0.0
36047016500,4.0,4.285714285714286
36047016600,2.0,3.7142857142857144
36047016700,3.6,8.285714285714286
36047016800,2.4,2.857142857142857
36047016900,4.4,5.285714285714286
36047017000,5.2,6.285714285714286
36047017100,2.0,1.4285714285714286
36047017200,8.0,8.714285714285714
36047017400,2.2,2.857142857142857
36047017500,0.25,0.42857142857142855
36047017600,9.6,8.428571428571429
36047017700,4.2,1.7142857142857142
36047017800,4.4,5.142857142857143
36047017900,7.0,9.571428571428571
36047018000,7.0,6.0
36047018100,5.4,5.714285714285714
36047018200,13.2,6.428571428571429
36047018300,5.4,5.285714285714286
36047018400,8.6,12.142857142857142
36047018501,17.6,14.428571428571429
36047018600,4.4,4.571428571428571
36047018700,0.6,2.0
36047018800,5.0,5.142857142857143
36047019000,7.0,5.857142857142857
36047019100,6.0,5.714285714285714
36047019200,3.4,2.0
36047019300,125.8,109.85714285714286
36047019400,7.4,5.714285714285714
36047019500,1.8,1.4285714285714286
36047019600,7.0,5.857142857142857
36047019700,1.8,3.0
36047019800,1.6,11.285714285714286
36047019900,5.6,8.571428571428571
36047020000,6.4,8.0
36047020100,3.2,3.2857142857142856
36047020200,4.0,5.428571428571429
36047020300,7.4,7.285714285714286
36047020400,3.0,3.0
36047020500,4.4,10.0
36047020600,8.8,6.714285714285714
36047020700,8.0,9.714285714285714
36047020800,13.4,12.857142857142858
36047021000,11.2,14.285714285714286
36047021100,14.8,17.857142857142858
36047021200,6.4,4.285714285714286
36047021300,8.8,6.571428571428571
36047021400,1.2,3.5714285714285716
36047021500,16.6,10.714285714285714
36047021600,1.2,2.4285714285714284
36047021700,3.0,2.2857142857142856
36047021800,3.2,4.571428571428571
36047021900,4.0,5.714285714285714
36047022000,3.2,6.571428571428571
36047022100,2.4,5.714285714285714
36047022200,4.2,4.285714285714286
36047022400,6.4,7.285714285714286
36047022600,1.8,2.5714285714285716
36047022700,5.4,8.285714285714286
36047022800,3.2,3.142857142857143
36047022900,1.8,3.7142857142857144
36047023000,2.4,3.142857142857143
36047023100,7.8,6.142857142857143
36047023200,1.0,2.0
36047023300,2.4,4.571428571428571
36047023400,0.4,0.8571428571428571
36047023500,2.6,5.0
36047023600,2.4,5.142857142857143
36047023800,3.0,4.571428571428571
36047024000,0.8,1.5714285714285714
36047024100,3.6,6.714285714285714
